io,hora,ativo,posicao,direcao,lucro,AC_Var,AC_cx,AC_norm,AD_Var,AD_cx,AD_norm,ADX_FW,adx_cx,adx_norm,ATR_Var,ATR_cx,ATR_norm,BB_Delta_Bruto,BB_Delta_Bruto_Cx,BB_Delta_Bruto_norm,Banda_Delta_Valor,BB_Posicao_Percent,BB_Posicao_Percent_Cx,BB_Posicao_Percent_norm,BullsP_Var,BullsP_Var_Cx,BullsP_norm,BearsP_Var,BearsP_Var_Cx,BearsP_norm,BWMFI_Var,BWMFI_Var_Cx,BWMFI_norm,CCI_Var,CCI_Var_Cx,CCI_norm,DeMarker_Var,DeMarker_Var_Cx,DeMarker_norm,DP_DMM20,DP_PAAMM20,DP_MM20MM50,DP_D,Hilo_Direcao,MACD_FW,MACD_Cx_0,MACD_Cx_1,MACD_Diff_Angulo_LS,MACD_Distancia_Linha_Sinal,MACD_Distancia_Linha_Zero,MACD_Normalizacao,MACD_Normalizacao_Zero,MFI_FW,MFI_Cx,MFI_norm,Momentum_Var,Momentum_Var_Cx,Momentum_norm,RSI_Var,RSI_Var_Cx,RSI_norm,Stoch_FW,Stoch_Cx_0,Stoch_Cx_1,Stoch_norm_1,Stoch_norm_2,Volume_FW,Volume_Cx,Volume_norm,WPR_Var,WPR_Var_Cx,WPR_norm
"DEAL_ENTRY_IN","2019.01.15 09:22:42","WIN$N","2","DEAL_TYPE_SELL","0.00000000","2.14411765","-19.99828214","0.59487532","-437931.04175305","-1.41343270","0.79261460","15.29797093","-7.36157214","0.07639267","78.92857143","2.98146122","1.00000000","37.31541237","-3.61976985","0.89099321","43.90048514","49.59802133","-4.16870959","0.22525341","40.56209596","-15.78197351","0.06981207","-44.43790404","-14.45236239","0.06981207","0.00856423","-9.53296036","0.09738783","-1.37080192","-3.98596525","0.23272301","0.64367816","0.70712324","0.89531388","-1.00000000","-1.00000000","1.00000000","0.00000000","-1.00000000","21.27796593","-17.34028393","3.14249495","-20.48277888","-0.16955219","0.22105802","0.13580469","0.22105802","48.87336496","5.19737606","0.13172328","100.06858711","2.32658978","0.70958820","50.93604636","-4.43940454","0.16142516","28.98550725","-19.19017974","-21.31586492","0.10331999","0.63756980","9925.00000000","-1.13995458","0.70958820","-66.00000000","-6.86224932","0.21833333"
"DEAL_ENTRY_OUT","2019.01.15 09:25:30","WIN$N","2","DEAL_TYPE_BUY","9.00000000","-16.04705882","-15.17035678","0.35868943","-444605.76397527","0.84879830","0.48952913","14.87108130","2.21981374","0.03829252","80.71428571","3.92590770","1.00000000","37.40802053","-2.95256243","0.89818285","41.56446726","25.40634369","-3.79580394","0.00000000","19.05322511","-9.01364086","0.03799502","-70.94677489","-3.95613860","0.03799502","0.00648602","23.93974683","1.00000000","-76.35009311","-3.38769032","0.00000000","0.64367816","-2.99630196","0.89531388","-1.00000000","-1.00000000","1.00000000","0.00000000","-1.00000000","14.41400317","-15.68077724","0.96957483","-16.65035207","-0.51371275","0.00000000","0.00000000","0.00000000","42.08299958","-12.51806914","0.00000000","100.01582696","-2.32271392","0.00000000","46.83906337","-3.81970796","0.00000000","17.39130435","-12.24262226","-17.59764697","0.00000000","0.35853339","13876.00000000","13.99922984","0.00000000","-85.71428571","-6.42418550","0.00000000"
"DEAL_ENTRY_IN","2019.01.15 10:19:17","WIN$N","4","DEAL_TYPE_BUY","0.00000000","-36.74705882","-8.09912329","0.04477133","-419714.38546225","23.07948549","1.00000000","21.09119381","2.92601142","0.73968568","97.85714286","-13.19061071","0.87068966","55.91994278","6.51594861","0.99588402","65.78816797","50.71530831","26.56505118","0.48379572","-78.32075033","26.35660456","0.52389049","-163.32075033","18.95930259","0.52389049","0.00688092","8.82905949","0.10223417","9.70200970","26.56505118","0.53570189","0.37000000","-0.79189358","0.42077994","1.00000000","1.00000000","1.00000000","1.00000000","-1.00000000","-17.92758412","0.02798311","-5.68473421","5.71271731","-0.32587357","-0.42155168","0.21001226","0.14604223","45.28662823","21.31349079","0.47538095","99.90517832","6.67150970","0.81061624","52.23021225","26.56505118","0.55328882","49.15254237","19.24305316","10.89334901","0.51200049","0.12894525","12353.00000000","-11.55860035","0.81061624","-31.94444444","22.61458695","0.76514730"
"DEAL_ENTRY_OUT","2019.01.15 10:20:11","WIN$N","4","DEAL_TYPE_SELL","11.00000000","-15.90000000","21.60706585","0.32887090","-416457.32296225","16.13307987","1.00000000","20.62661124","-8.62397617","0.69667232","96.42857143","0.00000000","0.83620690","57.33096894","1.64849335","1.00000000","35.83185559","72.06486343","21.44282572","0.64465795","63.58221400","26.56505118","0.73228057","-96.41778600","22.03362796","0.73228057","0.00768455","23.43640886","0.49479634","89.08467939","20.91689940","0.69838610","0.45454545","18.89484296","0.58149743","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","-7.36411183","12.05775077","-4.44760228","16.50535305","-0.02812752","-0.18755477","0.61763409","0.42722054","49.61365484","25.17020871","0.68331179","100.03162555","26.56505118","0.07672057","56.55265197","22.70331379","0.71833443","74.44444444","24.15571639","20.98138773","0.93263990","0.26773843","20821.00000000","-2.70824110","0.07672057","0.00000000","21.47777568","1.00000000"
"DEAL_ENTRY_IN","2019.01.15 10:42:22","WIN$N","6","DEAL_TYPE_SELL","0.00000000","80.90294118","-0.90949577","0.86917370","-434047.35464073","-6.58686902","0.41430460","18.80089832","-12.93614131","0.52763875","113.92857143","0.00000000","1.00000000","70.67531394","-4.05888880","0.91520855","94.23375192","48.93880910","-6.52899264","0.53523870","70.50501847","-8.19999741","0.48743076","-4.49498153","-7.27350867","0.48743076","0.00541673","22.96895881","0.78333251","-9.13242009","-6.62802503","0.53785451","0.53488372","-3.06497625","0.73421721","-1.00000000","-1.00000000","1.00000000","0.00000000","1.00000000","19.30842657","-1.70995322","2.48131864","-4.19127186","0.35872947","0.40042275","0.90101087","0.90101087","51.40794273","-10.42916187","0.55148368","99.95783482","-7.71664871","0.13793745","49.26041128","-7.53431287","0.44623591","57.69230769","-10.22634671","-5.61350041","0.58104974","0.98723643","13846.00000000","-5.43080190","0.13793745","-52.88461538","-8.37278189","0.48484456"
"DEAL_ENTRY_OUT","2019.01.15 10:44:11","WIN$N","6","DEAL_TYPE_BUY","13.00000000","76.12647059","-1.89233600","0.83484474","-442891.35464073","-12.35315350","0.23534363","19.65430173","-9.37643515","0.60665107","118.92857143","6.34019175","1.00000000","71.99416643","-1.97007925","0.94901996","95.99222191","29.09552850","-12.15507910","0.36512105","70.50501847","-7.36290918","0.51719687","-4.49498153","-12.80665150","0.51719687","0.00541673","21.71088371","0.58588947","-75.63764292","-11.63474035","0.39038790","0.49462366","-5.46817635","0.65768446","-1.00000000","-1.00000000","1.00000000","0.00000000","1.00000000","13.72438099","-5.01513300","2.11329894","-7.12843194","0.25579323","0.28461949","0.78520760","0.78520760","49.80239519","-11.99937001","0.49619234","99.88404575","-11.77426077","0.46720030","45.37287399","-12.28261885","0.29565551","53.20512821","-12.33160579","-6.42990245","0.51474898","0.98723643","13846.00000000","-5.43080190","0.46720030","-66.34615385","-14.66308115","0.31256477"
"DEAL_ENTRY_IN","2019.01.15 11:16:02","WIN$N","8","DEAL_TYPE_BUY","0.00000000","-0.34117647","19.11569082","0.51075098","-426433.28607035","4.78515818","0.56837755","21.06522412","-22.24078756","0.54204306","134.64285714","-14.99507913","0.80645161","83.87228386","-1.92751048","0.98304202","111.82971181","50.95383119","10.89467810","0.55251360","22.68925587","13.18620568","0.33141615","-52.31074413","7.46101452","0.33141615","0.01021798","25.84212594","1.00000000","7.13436385","10.80485238","0.57392396","0.54696133","22.92096579","0.83468413","-1.00000000","1.00000000","-1.00000000","0.00000000","-1.00000000","-21.68266821","5.43170234","-8.78952639","14.22122873","-0.37104326","-0.68338641","0.19186584","0.19017223","49.90690916","18.95284688","0.49979156","100.14261568","19.55314813","0.00000000","50.55128439","11.50394540","0.49623676","36.39344262","19.53176394","6.93838763","0.26634631","0.04778998","7340.00000000","-19.04691636","0.00000000","-57.54716981","11.76828893","0.43056780"
"DEAL_ENTRY_OUT","2019.01.15 11:17:18","WIN$N","8","DEAL_TYPE_SELL","10.00000000","3.07058824","19.89219570","0.52753581","-418766.22921417","12.37920650","0.72352272","22.47306241","-17.46689419","0.63787137","138.21428571","-10.12467166","0.87096774","84.49473356","-0.50526691","0.99555629","112.65964475","64.55712029","14.66780069","0.66913543","22.68925587","18.11559331","0.45898518","-52.31074413","6.60485984","0.45898518","0.01021798","23.71332722","0.93050216","43.36979467","13.86083554","0.65427128","0.57068063","23.46473625","0.88438911","1.00000000","1.00000000","-1.00000000","0.00000000","-1.00000000","-17.69406422","8.97525728","-8.39831149","17.37356877","-0.25929983","-0.55767504","0.31869675","0.31588359","51.13663141","19.65582844","0.54214034","100.19543630","20.48134609","0.14869695","53.48591192","14.60847203","0.60990702","39.67213115","23.22489985","7.83777016","0.31479089","0.04778998","7340.00000000","-19.04691636","0.14869695","-48.11320755","15.20240871","0.55016996"
"DEAL_ENTRY_IN","2019.01.15 13:12:00","WIN$N","10","DEAL_TYPE_SELL","0.00000000","45.68823529","9.34723074","0.69783575","-402941.73862565","-22.04200434","0.26558604","21.20260159","6.29610714","0.59653030","107.85714286","9.22988624","0.41284404","56.43934798","-6.72278025","0.18254345","37.62623198","49.55704662","-20.01450855","0.27148594","192.86077302","-21.18566182","0.34276692","42.86077302","-10.96715752","0.34276692","0.01023751","9.97219095","0.52033100","-7.73395205","-20.99729095","0.23238043","0.59541985","-8.39860029","0.58355016","-1.00000000","-1.00000000","1.00000000","0.00000000","1.00000000","17.51815033","-0.59990846","4.54266006","-5.14256852","0.49642280","0.58039124","0.88260940","0.88260940","59.69647669","-8.73580943","0.67202887","99.98945759","-16.97944322","0.17731343","49.82062180","-22.14889802","0.28392767","59.82905983","-16.47360615","6.61434652","0.65816467","0.83119046","14652.00000000","4.62789774","0.17731343","-64.10256410","-24.25841210","0.34910277"
"DEAL_ENTRY_OUT","2019.01.15 13:12:21","WIN$N","10","DEAL_TYPE_BUY","11.00000000","42.27647059","8.14278959","0.66769726","-406754.51640343","-25.52827210","0.13371106","20.82039496","5.31327424","0.57219171","111.42857143","12.95276451","0.50458716","57.44005571","-4.33131450","0.20267216","38.29337047","29.63093898","-25.26661480","0.05602969","192.86077302","-20.28699863","0.37317650","42.86077302","-20.60727529","0.37317650","0.01023751","16.70012152","0.75486377","-69.21029281","-25.89657374","0.02899997","0.55319149","-11.94710996","0.47764110","-1.00000000","-1.00000000","1.00000000","0.00000000","1.00000000","13.13068594","-4.75326529","4.08258241","-8.83584769","0.36721353","0.43503081","0.73724897","0.73724897","59.28422231","-9.13295646","0.65824661","99.93147436","-20.64553368","0.30902411","46.67576059","-25.93046285","0.14463922","55.12820513","-19.70415575","5.36695745","0.59581831","0.83119046","14652.00000000","4.62789774","0.30902411","-78.20512821","-26.56505118","0.17862969"
